片名,年代,产地,类别,豆瓣评分,迅雷下载链接
"So Long, My Son",2019,中国,剧情/家庭,8.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:4134/阳光电影www.ygdy8.com.地久天长.HD.720p.国语中字.mkv
朽木 ,2019,美国,西部/动作,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:4133/阳光电影www.ygdy8.com.朽木电影版.BD.720p.英语中字.mkv
俘虏国度 ,2019,美国,科幻/惊悚/悬疑,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8452/阳光电影www.ygdy8.com.俘虏国度.BD.720p.中英双字幕.mkv
只有爱能让我生存 ,2018,日本,爱情/文艺/剧情,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:7452/阳光电影www.ygdy8.com.只有爱能让我生存.BD.720p.日语中字.mkv
第一个国王,2019,意大利/比利时,历史/战争/古装,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8545/阳光电影www.ygdy8.com.第一个国王.BD.720p.中英双字幕.mkv
摇摆狂潮,2018,韩国,剧情/歌舞/战争,8.2,ftp://ygdy8:ygdy8@yg90.dydytt.net:8544/阳光电影www.ygdy8.com.摇摆狂潮.BD.720p.韩语中字.mkv
娑婆诃,2019,韩国,剧情/悬疑/惊悚/恐怖,7.1,ftp://ygdy8:ygdy8@yg90.dydytt.net:8543/阳光电影www.ygdy8.com.娑婆诃.BD.720p.韩语中字.mkv
Peppa Celebrates Chinese New Year,2019,中国/英国,动画/歌舞/家庭/儿童,4.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8450/阳光电影www.ygdy8.com.小猪佩奇过大年.HD.720p.国粤双语中字.mkv
惊奇队长,2019,美国,动作/科幻/冒险,7.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8449/阳光电影www.ygdy8.com.惊奇队长.BD.720p.中英双字幕.mkv
致命之旅,2019,韩国,惊悚/恐怖,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:7449/阳光电影www.ygdy8.com.致命之旅.BD.720p.韩语中字.mkv
干预,2019,法国/比利时,剧情/动作/战争,0,ftp://ygdy8:ygdy8@yg72.dydytt.net:8365/阳光电影www.ygdy8.com.干预.BD.720p.法语中字.mkv
阳光姐妹淘,2018,日本,剧情 / 喜剧 / 歌舞,8.6,ftp://ygdy8:ygdy8@yg90.dydytt.net:8541/阳光电影www.ygdy8.com.阳光姐妹淘.BD.720p.日语中字.mkv
完美琴仇,2018,美国,剧情/惊悚/恐怖,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8447/阳光电影www.ygdy8.com.完美琴仇.BD.720p.中英双字幕.mkv
沉睡的人鱼之家 ,2018,日本,剧情,6.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:7447/阳光电影www.ygdy8.com.沉睡的人鱼之家.BD.720p.日语中字.mkv
P Storm,2019,中国香港/中国,动作/犯罪/悬疑,6.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8446/阳光电影www.ygdy8.com.反贪风暴4.HD.1080p.国粤双语中字.mkv
调音师 ,2018,印度,喜剧 / 悬疑 / 惊悚 / 犯罪,8.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:7446/阳光电影www.ygdy8.com.调音师.BD.720p.国印双语中字.mkv
我们,2019,美国,惊悚/恐怖,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7445/阳光电影www.ygdy8.com.我们.BD.720p.中英双字幕.mkv
环球卫士 ,2019,美国,科幻/冒险,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8445/阳光电影www.ygdy8.com.环球卫士.BD.720p.中英双字幕.mkv
鳄口逃生,2018,泰国,动作 / 惊悚,5.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8540/阳光电影www.ygdy8.com.鳄口逃生.BD.720p.泰语中字.mkv
The Game of Desire,2019,中国,科幻 / 悬疑 / 犯罪,3.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8539/阳光电影www.ygdy8.com.欲念游戏.HD.720p.国语中字.mkv
兰开斯特的天空,2019,英国,剧情 / 动作 / 历史 / 战争,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8444/阳光电影www.ygdy8.com.兰开斯特的天空.BD.720p.中英双字幕.mkv
Jinpa,2018,中国,剧情,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:7444/阳光电影www.ygdy8.com.撞死了一只羊.HD.720p.国语中字.mkv
Lost in love,2019,中国,剧情/爱情,4.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:6164/阳光电影www.ygdy8.com.如影随心.HD.720p.国语中字.mkv
阿波罗11号 ,2019,美国,纪录片,8.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:3213/阳光电影www.ygdy8.com.阿波罗11号.BD.720p.中英双字幕.mkv
亿男,2018,日本,剧情/喜剧,6.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8538/阳光电影www.ygdy8.com.亿男.BD.720p.日语中字.mkv
坤蒂拉娜 ,2018,印度尼西亚,恐怖/惊悚,4.6,ftp://ygdy8:ygdy8@yg72.dydytt.net:8363/阳光电影www.ygdy8.com.坤蒂拉娜.BD.720p.中英双字幕.mkv
The Sexy Guys,2019,中国香港,喜剧/爱情,2.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:6163/阳光电影www.ygdy8.com.最佳男友进化论.HD.720p.国语中字.mkv
心仇 ,2018,菲律宾,动作 / 惊悚 / 犯罪,4.6,ftp://ygdy8:ygdy8@yg90.dydytt.net:8537/阳光电影www.ygdy8.com.心仇.BD.720p.英语中字.mkv
候鸟,2018,哥伦比亚/丹麦/墨西哥/德国/瑞士,剧情/惊悚,7.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8536/阳光电影www.ygdy8.com.候鸟.BD.720p.中英双字幕.mkv
回火2,2019,美国,剧情 / 动作 / 犯罪,0,ftp://ygdy8:ygdy8@yg72.dydytt.net:8362/阳光电影www.ygdy8.com.回火2.BD.720p.中英双字幕.mkv
教授 ,2018,美国,剧情 / 喜剧,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8442/阳光电影www.ygdy8.com.教授.BD.720p.中英双字幕.mkv
遗孀秘闻 ,2018,爱尔兰 / 美国,剧情 / 悬疑,6.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:7442/阳光电影www.ygdy8.com.遗孀秘闻.BD.720p.中英双字幕.mkv
开战,2018,法国,剧情,7.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:8438/阳光电影www.ygdy8.com.开战.BD.720p.法语中字.mkv
